negara,total_kasus,kasus_baru,total_kematian,kematian_baru,total_disembuhkan,kasus_aktif
Liberia,2,0,0,0,0,2
Mauritania,2,0,0,0,0,2
New Caledonia,2,0,0,0,0,2
Saint Lucia,2,0,0,0,0,2
Zambia,2,0,0,0,0,2
Nepal,1,0,0,0,1,0
Angola,1,1,0,0,0,1
Antigua and Barbuda,1,0,0,0,0,1
Cabo Verde,1,1,0,0,0,1
Chad,1,0,0,0,0,1
Djibouti,1,0,0,0,0,1
El Salvador,1,0,0,0,0,1
Fiji,1,0,0,0,0,1
Gambia,1,0,0,0,0,1
Guinea,1,0,0,0,0,1
Vatican City,1,0,0,0,0,1
Isle of Man,1,0,0,0,0,1
Montserrat,1,0,0,0,0,1
Nicaragua,1,0,0,0,0,1
Niger,1,0,0,0,0,1
Papua New Guinea,1,1,0,0,0,1
St. Vincent Grenadines,1,0,0,0,0,1
Sint Maarten,1,0,0,0,0,1
Somalia,1,0,0,0,0,1
Eswatini,1,0,0,0,0,1
